Star,,Gas1,,Gas2,,Gas3,,2Halo,,Total,,r200,,DMO,,DMB1,,DMB2,,DMB3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.02284320631036637,918254283565626.2,0.03331185903621007,874578792075684.8,0.019797491696796392,35073050857060.316,0.03944983560308889,505479682119.1225,0.04733051640767101,6689548786914.153,0.0582823055186886,3961718357595973,,,0.01506489474471918,6550197851385.771,0.017382530270400917,7889515755530.602,0.016717211683959062,7210336663391.503,0.025348648092254737,7984780618580.096
0.025021024303602816,621800108732090.2,0.03893995813132234,755625974517033.4,0.021684938364853072,35073050857060.316,0.045518934791987806,505479682119.1225,0.05390616273981275,5242962115123.356,0.06637948800475621,2555097090352502,,,0.015869563145973268,6790352815407.914,0.018793657133363943,8178775166530.031,0.01928904536389014,7429971445684.693,0.027765329059430487,8129839079705.261
0.027406470383160582,381953577399822.2,0.043776691696130035,621800108732090.2,0.023752329794565343,31815994481218.977,0.053209441510174475,505479682119.1225,0.062199273308193276,5242962115123.356,0.07963976016913785,2207574373374658.5,,,0.01650114666117514,7039312766401.934,0.02058540055622935,8377482916561.813,0.021404666942175264,7656296544927.702,0.030810629030381034,8427909650394.873
0.030412410751562157,258641620527596.03,0.04795025934529723,592225048921947.5,0.02601682149967313,31815994481218.977,0.06383880454607353,505479682119.1225,0.07759442308140535,5242962115123.356,0.08837464527748523,1907318759972515.8,,,0.01761013607719937,7385515678119.457,0.022547964616642848,8684633044553.349,0.02469763495563984,7937005259840.976,0.035091161235640655,8736908612684.882
0.03162277660168381,193069772888324.56,0.051842897413266587,511675601763641.1,0.029631348233224365,31815994481218.977,0.07861043979437934,505479682119.1225,0.09554896535724036,4314402261443.777,0.10197050644580961,1423767756567403,,,0.018793657133363943,7656296544927.702,0.025348648092254737,9057236642639.035,0.028497204560570196,8327357901137.061,0.03996638937983089,9003044454968.834
0.03331185903621007,151319249933433.62,0.06060184910378742,442081809806545.06,0.034637618342529576,27488651740618.9,0.090704141811168,505479682119.1225,0.12075938815897952,4314402261443.777,0.11463626662674244,1171609997140063,,,0.0195416149647552,7937005259840.976,0.027052249849275376,9333130028905.445,0.0333118590362101,8684633044553.349,0.042101133179314784,9277287087616.295
0.03555064279213947,107583589854217.84,0.06812920690579616,346483485573036.6,0.03843667067526155,27488651740618.9,0.10882361882139405,505479682119.1225,0.14870185430283767,3913745601980.376,0.13056272598927723,874578792075684.8,,,0.020319340334926675,8277532798848.073,0.02887034524461399,9559883452374.926,0.03744952621508105,8895630884327.322,0.046718783464442824,9617427431053.17
0.03648773395549807,92950978988064.94,0.07861043979437934,314307321303534.06,0.04210113317931474,24935920049841.508,0.12887524132383676,505479682119.1225,0.18310991642315697,3220597918721.0693,0.15064894744719157,685454822082012.2,,,0.021404666942175264,8581018378459.826,0.030810629030381034,9910384844645.848,0.04155698846956359,9389309106617.025,0.051172843278489505,10030051435631.63
0.03744952621508101,69385678787371.67,0.08837464527748523,258641620527596.03,0.04795025934529723,24935920049841.508,0.1467799267622069,505479682119.1225,0.2375232979456533,2650210823315.1675,0.17382530270400892,537228111832401.94,,,0.02284320631036639,8789498844085.406,0.03418993735733632,10273736940233.047,0.04611495698880107,9792145972459.96,0.05752902393633736,10335577830070.232
0.039966389379830845,46984831311548.3,0.09806757216915775,212834647286305.8,0.054612006795364064,23749877595782.125,0.17157866201420996,505479682119.1225,0.28497204560570155,2404099183509.9644,0.192890453638901,401027913949520.4,,,0.02437842531947069,9166601581515.38,0.036487733955498106,10714519104554.553,0.051172843278489505,10090425504921.178,0.06383880454607363,10779013202413.764
0.04101987666944658,31815994481218.977,0.10741710569440925,158875964860223.3,0.05752902393633727,22620247606152.35,0.19039740150507642,481437242078.43384,0.3648773395549807,2077113925966.45,0.2196887964469719,299357729472047.8,,,0.02601682149967316,9675317785238.879,0.03944983560308893,10974834120016.93,0.056785478295920025,10460378570322.062,0.06902128664695664,11040895136738.072
0.04155698846956355,23749877595782.125,0.12394252485211965,118597101233766.58,0.062199273308193276,21544346900318.777,0.22256538834596834,481437242078.43384,0.44349901066542047,1884222888814.0398,0.25680561767107435,223463372691658.78,,,0.02887034524461399,10090425504921.178,0.042101133179314784,11241473629057.967,0.059818588105787364,10714519104554.553,0.07560161507956636,11309139633779.168
0.043776691696130035,17728714598174.664,0.15064894744719157,88529894584285.89,0.07084064159304508,19543632656182.95,0.26016821499673104,481437242078.43384,0.560515427632631,1550515779832.622,0.2740647038316057,175140362146984.12,,,0.029631348233224393,10460378570322.062,0.044349901066542165,11723775356774.473,0.06637948800475628,11241473629057.967,0.08610497571522954,11583901275426.902
0.045518934791987806,12604600940141.79,0.1693610584916736,76488806354856.39,0.07759442308140535,19543632656182.95,0.32881313098424275,481437242078.43384,0.7084064159304497,1476767647143.116,0.31622776601683794,124519708473503.19,,,0.03162277660168384,10714519104554.553,0.04921419610660856,12080894444044.424,0.07759442308140548,11583901275426.902,0.09806757216915785,11936759644392.04
0.04733051640767101,8129295492563.386,0.1954161496475518,59948425031893.97,0.08610497571522946,16082338776670.389,0.3893995813132227,481437242078.43384,0.8953181757208261,1157422880592.0566,0.3648773395549807,84319092928662.16,,,0.0333118590362101,11107353795727.2,0.05390616273981281,12751344305370.521,0.08610497571522954,11936759644392.04,0.10741710569440936,11936759644392.04
0.0492141961066085,5242962115123.356,0.22256538834596834,46984831311548.3,0.0968000777678382,15317404637020.734,0.4921419610660848,481437242078.43384,1.1315462674391794,952436386879.2955,0.41556988469563483,66085445205411.92,,,0.03555064279213953,11377212941701.537,0.06219927330819337,13459001926323.484,0.10197050644580982,12300366467231.99,0.13056272598927748,12153613189598.744
